InviteFriendPlay|邀请好友打牌
Player|玩家
All-in|全下
AllIn|全下
Bet|下注
Offline|离线
Cowboy|牛仔
Fishing|捕鱼
GFlowerDesktopH|炸金花百人场
GFlowerDesktopPrivate|炸金花私人桌
GFlowerDesktopNormal|炸金花普通桌
TexasDesktopClassicPrivate|德州私人桌
TexasDesktopClassic|德州普通桌
TexasDesktopMustBet|德州必下桌
TexasDesktopMustBetPrivate|德州私人必下桌
TexasDesktopH|德州百人场
NotInDesktop|大厅
DesktopMatch|德州赛事场
HighCard|高牌
HighCard2|散牌
Pair|对子
TwoPairs|两对
ThreeOfAKind|三条
Straight|顺子
Flush|同花
FullHouse|葫芦
FourOfAKind|四条
StraightFlush|同花顺
RoyalFlush|皇家同花顺
FourOfAKind2|金刚
StraightFlush2|花顺
RoyalFlush2|皇家
UnknownLoginMethod|未知的登录方式
ThirdLoginFail|第三方登录失败
NotInstallWechat|未安装微信
SetHeadImageFail|设置头像失败
UploadHeadImageSuccess|上传头像成功！
GetAddressFail|获取收货地址失败
EditAddressFail|编辑收货地址失败
ModifyNickNameSuccess|昵称修改成功！
ModifySignatureSuccess|签名修改成功！
IPRefreshSuccess|IP所在地刷新成功！
SendGiftSuccess|赠送成功
SendGiftFail|赠送失败
RechargeSuccessful|充值成功
NotFoundAppId|根据app_id找不到对应的APP或者app_sign不正确
ParamInvalid|channel参数不合法
MissParam|缺少必填参数
CertificateError|证书错误
ChannelInternalError|渠道内部错误
RunTimeError|运行时错误
UnknownError|未知错误
CreateChargeReturnEmpty|创建订单返回数据为空
CreateChargeFail|创建订单失败 错误代码=
CreateIAPChargeReturnEmpty|创建内购订单返回数据为空
CreateIAPChargeFail|创建内购订单失败 错误代码=
PayTypeNotFound|支付类型没有找到 支付类型=
OrderRepeated|订单重复了
OrderAmountNotMatch|订单金额不匹配
InvalidOrder|无效订单
InvalidTicket|无效票据
TestEnvOrder|测试环境订单
PayNetFail|支付网络请求失败
PayCancel|你取消了这笔订单
PayDelivery|商品已经支付正在请求发货中
PayFail|购买失败
PaySuccess|购买成功
PayConfirmChargeInfo|你有一笔未付款数额为[color=#FFCC00]{0}[/color]的订单，是否确认继续支付？
PayConfirmCharge|确认支付
PayEnv|购买错误，请确保您设备上的Google Play服务可用!
AddFriendSuccess|请求添加好友成功
AddFriendFail|请求添加好友失败
DealAddFriendSuccess|处理添加好友请求成功
DealAddFriendFail|处理添加好友请求失败
DeleteFriendSuccess|请求删除好友成功
DeleteFriendFail|请求删除好友失败
InvitingToTableInfo|{0}：{1}\n前注 {2}，盲注 {3}/{4} 携带 {5}/{6}\n 人数：{7}/{8}
Blinds|盲注:
Ante| 前注:
Carry|携带
NumberOfPeople|人数:
FormatPeople|({0}人)
FormatAnte|前注 {0} 
FormatBlinds|盲注 {0}/{1}
PrivateTable|私人桌 
Diamonds|钻石
Score|积分
Chips|筹码
Yuan|元
MyPromotion|我的推广
MyPlayer|我的玩家
MyAgent|我的代理
AgencyRule|代理规则
Agent|代理
Normal|正常
Freeze|冻结
Unfreeze|解冻
FormatAgentOpInfo|确认对当前成员{0}{1}({2}){3}{4}
BecomeAnAgent|变成代理
InviteFriends|邀请好友 
Edit|编辑
Confirm|确定
CopyInviteSuccess|复制邀请链接成功
CowboyNotBetTip|亲！当前状态不能下注哦
Times|次
FormatContinue|继续({0})
Fold|弃牌
Check|让牌
CallFormat|跟{0}
Raise|加注
Blinds|盲注
Pot|底池
CheckOrFold|让或弃
AutoCheck|自动让牌
CallAny|跟任何注
Call|跟
NotEnoughChips|筹码不足
NotEnoughChips2|亲!根据本游戏规则，您当前最大押注只能是自身携带筹码总数的1/7
