InviteFriendPlay|邀請好友打牌
Player|玩家
All-in|全下
AllIn|全下
Bet|下注
Offline|離線
Cowboy|牛仔
Fishing|捕魚
GFlowerDesktopH|炸金花百人場
GFlowerDesktopPrivate|炸金花私人桌
GFlowerDesktopNormal|炸金花普通桌
TexasDesktopClassicPrivate|德州私人桌
TexasDesktopClassic|德州普通桌
TexasDesktopMustBet|德州必下桌
TexasDesktopMustBetPrivate|德州私人必下桌
TexasDesktopH|德州百人場
NotInDesktop|大廳
DesktopMatch|德州賽事場
HighCard|高牌
HighCard2|散牌
Pair|對子
TwoPairs|兩對
ThreeOfAKind|三條
Straight|順子
Flush|同花
FullHouse|葫蘆
FourOfAKind|四條
StraightFlush|同花順
RoyalFlush|皇家同花順
FourOfAKind2|金剛
StraightFlush2|花順
RoyalFlush2|皇家
UnknownLoginMethod|未知的登錄方式
ThirdLoginFail|第三方登錄失敗
NotInstallWechat|未安裝微信
SetHeadImageFail|設置頭像失敗
UploadHeadImageSuccess|上傳頭像成功！
GetAddressFail|獲取收貨地址失敗
EditAddressFail|編輯收貨地址失敗
ModifyNickNameSuccess|暱稱修改成功！
ModifySignatureSuccess|簽名修改成功！
IPRefreshSuccess|IP所在地刷新成功！
SendGiftSuccess|贈送成功
SendGiftFail|贈送失敗
RechargeSuccessful|充值成功
NotFoundAppId|根據app_id找不到對應的APP或者app_sign不正確
ParamInvalid|channel參數不合法
MissParam|缺少必填參數
CertificateError|證書錯誤
ChannelInternalError|渠道內部錯誤
RunTimeError|運行時錯誤
UnknownError|未知錯誤
CreateChargeReturnEmpty|創建訂單返回數據為空
CreateChargeFail|創建訂單失敗 錯誤代碼=
CreateIAPChargeReturnEmpty|創建內購訂單返回數據為空
CreateIAPChargeFail|創建內購訂單失敗 錯誤代碼=
PayTypeNotFound|支付類型沒有找到 支付類型=
OrderRepeated|訂單重複了
OrderAmountNotMatch|訂單金額不匹配
InvalidOrder|無效訂單
InvalidTicket|無效票據
TestEnvOrder|測試環境訂單
PayNetFail|支付網絡請求失敗
PayCancel|你取消了這筆訂單
PayDelivery|商品已經支付正在請求發貨中
PayFail|購買失敗
PaySuccess|購買成功
PayConfirmChargeInfo|你有一筆未付款數額為[color=#FFCC00]{0}[/color]的訂單，是否確認繼續支付？
PayConfirmCharge|確認支付
PayEnv|購買錯誤，請確保您設備上的Google Play服務可用!
AddFriendSuccess|請求添加好友成功
AddFriendFail|請求添加好友失敗
DealAddFriendSuccess|處理添加好友請求成功
DealAddFriendFail|處理添加好友請求失敗
DeleteFriendSuccess|請求刪除好友成功
DeleteFriendFail|請求刪除好友失敗
InvitingToTableInfo|{0}：{1}\n前註 {2}，盲注 {3}/{4} 攜帶 {5}/{6}\n人數：{7}/{8}
Blinds|盲注:
Ante| 前註:
Carry|攜帶
NumberOfPeople|人數:
FormatPeople|({0}人)
FormatAnte|前註 {0} 
FormatBlinds|盲注 {0}/{1}
PrivateTable|私人桌 
Diamonds|鑽石
Score|積分
Chips|籌碼
Yuan|元
MyPromotion|我的推廣
MyPlayer|我的玩家
MyAgent|我的代理
AgencyRule|代理規則
Agent|代理
Normal|正常
Freeze|凍結
Unfreeze|解凍
FormatAgentOpInfo|確認對當前成員{0}{1}({2}){3}{4}
BecomeAnAgent|變成代理
InviteFriends|邀請好友 
Edit|編輯
Confirm|確定
CopyInviteSuccess|複製邀請鏈接成功
CowboyNotBetTip|親！當前狀態不能下注哦
Times|次
FormatContinue|繼續({0})
Fold|棄牌
Check|讓牌
CallFormat|跟{0}
Raise|加註
Blinds|盲注
Pot|底池
CheckOrFold|讓或棄
AutoCheck|自動讓牌
CallAny|跟任何注
Call|跟
NotEnoughChips|籌碼不足
