QuickChat1|Fire!Fire!Fire!
QuickChat2|111111
QuickChat3|222222
QuickChat4|333333
QuickChat5|444444
QuickChat6|Чипсгүй, банкир болж болохгүй!
QuickChat7|Систем алт илгээж байна, яараарай!
QuickChat8|Систем нь биднийг ялахыг зөвшөөрдөггүй, болгоомжтой байгаарай!
QuickChat9|Болгоомжтой байгаарай, хэн нэгэн бүх чипийг ялах болно !!
QuickChat10|Завсарлага авахыг хүсч, илүү олон алт авахыг хүсч үзээрэй!
QuickChat11|Илүү их хичээ, та ялах болно!
QuickChat12|Би азтай байна, намайг буруутгах уу?
QuickChat13|Зүгээр л нэг удаа, бүх чипээ алдах хэрэгтэй!
QuickChat14|Бүх чипсээ алдчихаад унт!
QuickChat15|Битгий яараарай, цаг хугацаа үнэтэй байна!
QuickChat16|Ноёд оо, дараа нь картуудыг дахин үзье!
QuickChat17|Миний илд аль хэдийн өлсөж байна!
QuickChat18|Та ухаалаг байхыг хүсэхгүй, та алдах болно.
QuickChat19|Та маш сайн тоглосон, бүгд мэддэг үү?
QuickChat20|Импульс нь чөтгөр, тайван
QuickChat21|Надтай тоглоход таатай байна
QuickChat22|Texas Hold'em тоглох бүрэн бүтэн байдал, хууран мэхлэлт биш юм
QuickChat23|Энэ Texas Hold'em бол гайхалтай ялалт юм.
QuickChat24|Өөр нэг өдөр тулааныг үргэлжлүүлнэ үү
QuickChat25|Бид бүгд том карттай болсон тул арга байхгүй.
QuickChat26|Хөөе, би дахин яллаа, та нарт бүгдэд нь баярлалаа
QuickChat27|Та бол төрөлхийн жүжигчин
QuickChat28|Азтай байна, яагаад технологийг ашиглах ёстой гэж?
QuickChat29|Хэрэв та аль хэдийн алт боочихсон бол та картаа дуустал тоглох хэрэгтэй!
QuickChat30|Та бол азтай залуу, гэхдээ надад сайн технологи бий!
QuickChat31|Хэрэв та хос байвал эцсээ хүртэл явах хэрэгтэй!
QuickChat32|Миний картыг битгий уншаарай, гарыг минь уншина уу
QuickChat33|Би хөзөр тоглох азтай, наймаа эрхэлдэг!
QuickChat34|Хөөе, танд зөвлөе.
QuickChat35|Өө, би хөгшин ковбой хүн.
QuickChat36|Мөнгө бол миний хувьд л хэдэн тоо!
QuickChat37|Та дахин тоглох зүрхлэх үү?
QuickChat38|Хөөе, миний найз сайн тоглож байна.
QuickChat39|Тогтвортой байдлыг эрэлхийлж, ялахын тулд алхам алхмаар.
QuickChat40|Намайг Дубайгаас ирсэн гэдгийг та мэдэх үү?
QuickChat41|Элфүүдийн хүч намайг чиглүүлдэг.
QuickChat42|Би та бүхний чипсийг ялахыг хүсч байна.
QuickChat43|Хөргөх нь хандлага юм.
SendNoEmpty|Хоосон мэссэжээр илгээх
Btn_Send|Илгээх
Text_QuickPhrase|Түргэн хэл
Setting|Setting
Current|Current
World|Улс
InputChatContent|[color=#999999]Чатын текстийг хараарай[/color]
